Unnamed: 0,Name,Price,Rating,Benefits,Location,HotelID
0,Cozrum Homes - Sonata Residence,453197.0,7.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,1
1,Victory Hotel Saigon,764878.0,7.7,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,2
2,Happy Life Grand Hotel & Sky Bar,1090245.0,8.4,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,3
3,Cityhouse - Ariosa,1068847.0,8.9,"Bữa sáng, Nước uống chào đón, Trả phòng muộn",Đà Nẵng,4
4,Cochin Zen Hotel,915091.0,8.6,"Bữa sáng, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,5
5,Akoya Saigon Central Hotel,943423.0,8.9,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,6
6,Khach san Muong Thanh Luxury Saigon Hotel,1690148.0,8.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,7
7,Nesta Hotel Saigon,1412382.0,8.3,"Bữa sáng, Nước uống chào đón, Nhận phòng nhanh",Đà Nẵng,8
8,Ramana Saigon Hotel,1023154.0,8.0,"Bữa sáng, Wifi miễn phí",Đà Nẵng,9
9,Golden Star Hotel - 60 Le Thanh Ton,604529.0,7.1,"Nước uống chào đón, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,10
10,Bong Sen Hotel Saigon,860488.0,7.8,"Bữa sáng, Wifi miễn phí",Đà Nẵng,11
11,Valentine Luxury hotel - 31 Bui Vien Street,176365.0,7.8,"Bữa sáng, Vegetarian Bữa sáng",Đà Nẵng,12
12,Yoko Airport Saigon Hotel,435358.0,7.9,"Bữa sáng, Wifi miễn phí",Đà Nẵng,13
13,Liberty Hotel Saigon Parkview,1295503.0,7.8,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng,14
14,ROSA ZEN Hotel Spa,483667.0,8.3,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,15
15,Riverside Hotel Saigon,760685.0,7.7,"Bữa sáng, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,16
16,22Land Hotel Saigon,1487419.0,9.2,"Bữa sáng, Bãi đậu xe, Wifi miễn phí",Đà Nẵng,17
17,Saigon Hotel,1410625.0,8.4,"Bữa sáng, Wifi miễn phí, Phòng tập miễn phí",Đà Nẵng,18
18,M Village Lý Tự Trọng,1031372.0,9.0,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,19
19,Sky Gem Central Hotel,11410.0,8.3,"Bữa sáng, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,20
20,"Vinpearl Landmark 81, Autograph Collection",46000.0,9.0,"Bữa sáng, Afternoon tea, Bãi đậu xe",Đà Nẵng,21
21,BOBHOTEL - BÙI VIỆN,233081.0,5.7,"Nước uống chào đón, Wifi miễn phí",Đà Nẵng,22
22,ZAZZ URBAN HO CHI MINH HOTEL,1354289.0,8.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,23
